ID,Name,Description,CLTS_BIPA,CLTS_Name
oey_u0153u0079u02D0,œyː,,œyː,from_rounded_open-mid_front_to_long_rounded_close_front_diphthong
i_u0069u02D0u0259,iːə,,iːə,from_long_unrounded_close_front_to_unrounded_mid_central_diphthong
y_u0079u02D0u0259,yːə,,yːə,from_long_rounded_close_front_to_unrounded_mid_central_diphthong
u_u0075u02D0u0259,uːə,,uːə,from_long_rounded_close_back_to_unrounded_mid_central_diphthong
o_u006Fu02D0u0259,oːə,,oːə,from_long_rounded_close-mid_back_to_unrounded_mid_central_diphthong
o_u0254u02D0u0259,ɔːə,,ɔːə,from_long_rounded_open-mid_back_to_unrounded_mid_central_diphthong
ej_u025Bu006A,ɛj,,,
oey_u0153u0079,œy,,œy,from_rounded_open-mid_front_to_rounded_close_front_diphthong
ou_u0254u0075,ɔu,,ɔu,from_rounded_open-mid_back_to_rounded_close_back_diphthong
mp_u006Du0070,mp,,mp,from_voiced_bilabial_nasal_to_voiceless_bilabial_stop_cluster
mb_u006Du0062,mb,,mb,from_voiced_bilabial_nasal_to_voiced_bilabial_stop_cluster
nt_u006Eu0074,nt,,nt,from_voiced_alveolar_nasal_to_voiceless_alveolar_stop_cluster
nd_u006Eu0064,nd,,nd,from_voiced_alveolar_nasal_to_voiced_alveolar_stop_cluster
ngk_u014Bu006B,ŋk,,ŋk,from_voiced_velar_nasal_to_voiceless_velar_stop_cluster
ngg_u014Bu0067,ŋg,,ŋg,from_voiced_velar_nasal_to_voiced_velar_stop_cluster
mf_u006Du0066,mf,,,
ns_u006Eu0073,ns,,,
ns_u006Eu0283,nʃ,,,
nts_u006Eu0074u0283,ntʃ,,ntʃ,from_voiced_alveolar_nasal_to_voiceless_post-alveolar_sibilant_affricate_cluster
ndz_u006Eu0064u0292,ndʒ,,ndʒ,from_voiced_alveolar_nasal_to_voiced_post-alveolar_sibilant_affricate_cluster
bh_u0062u02B1,bʱ,,bʱ,breathy_voiced_bilabial_stop_consonant
t_u0074u032A,t̪,,t̪,voiceless_dental_stop_consonant
d_u0064u032A,d̪,,d̪,voiced_dental_stop_consonant
th_u0074u032Au02B0,t̪ʰ,,t̪ʰ,aspirated_voiceless_dental_stop_consonant
dh_u0064u032Au02B1,d̪ʱ,,d̪ʱ,breathy_voiced_dental_stop_consonant
dh_u0064u02B1,dʱ,,dʱ,breathy_voiced_alveolar_stop_consonant
gh_u0067u02B1,gʱ,,gʱ,breathy_voiced_velar_stop_consonant
tc_u0074u0320u0255,t̠ɕ,,,
dz_u0064u0320u0291,d̠ʑ,,,
tch_u0074u0320u0255u02B0,t̠ɕʰ,,,
dzh_u0064u0320u0291u02B1,d̠ʑʱ,,,
p_u0070u02D0,pː,,pː,long_voiceless_bilabial_stop_consonant
bh_u0062u02B1u02D0,bʱː,,bʱː,long_breathy_voiced_bilabial_stop_consonant
t_u0074u032Au02D0,t̪ː,,t̪ː,long_voiceless_dental_stop_consonant
d_u0064u032Au02D0,d̪ː,,d̪ː,long_voiced_dental_stop_consonant
th_u0074u032Au02B0u02D0,t̪ʰː,,t̪ʰː,aspirated_long_voiceless_dental_stop_consonant
dh_u0064u032Au02B1u02D0,d̪ʱː,,d̪ʱː,long_breathy_voiced_dental_stop_consonant
th_u0074u02B0u02D0,tʰː,,tʰː,aspirated_long_voiceless_alveolar_stop_consonant
dh_u0064u02B1u02D0,dʱː,,dʱː,long_breathy_voiced_alveolar_stop_consonant
kh_u006Bu02B0u02D0,kʰː,,kʰː,aspirated_long_voiceless_velar_stop_consonant
gh_u0067u02B1u02D0,gʱː,,gʱː,long_breathy_voiced_velar_stop_consonant
tc_u0074u0320u0255u02D0,t̠ɕː,,,
tch_u0074u0320u0255u02B0u02D0,t̠ɕʰː,,,
dz_u0064u0320u0291u02D0,d̠ʑː,,,
dzh_u0064u0320u0291u02B1u02D0,d̠ʑʱː,,,
h_u0068u02D0,hː,,hː,long_voiceless_glottal_fricative_consonant
r_u0279u02D0,ɹː,,ɹː,long_voiced_alveolar_approximant_consonant
iw_u0069u0077,iw,,,
ej_u0065u006A,ej,,,
ew_u0065u0077,ew,,,
ee_u025Bu0065u032F,ɛe̯,,ɛe̯,from_unrounded_open-mid_front_to_non-syllabic_unrounded_close-mid_front_diphthong
eo_u025Bu006Fu032F,ɛo̯,,ɛo̯,from_unrounded_open-mid_front_to_non-syllabic_rounded_close-mid_back_diphthong
aj_u0061u006A,aj,,,
